"Canonical stage identifier","Capability","Upstream gate","Required datasets","Required annotations","Required checkpoints","Required reports","Expected scripts","Expected configs","Expected outputs","Expected tests","Current readiness","Current blocker","User command when ready"
"10","Original Stage 10","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"11","Original Stage 11","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_DATA","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"12","Original Stage 12","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_ANNOTATIONS","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"13","Original Stage 13","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"14","Original Stage 14","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"15","Original Stage 15","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_LICENSE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"16","Original Stage 16","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"17","Original Stage 17","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"18","Original Stage 18","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"19","Original Stage 19","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"20","Original Stage 20","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_LICENSE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"21","Original Stage 21","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"22","Original Stage 22","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","PARTIALLY_COMPLETED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"23","Original Stage 23","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_DATA_ACCESS","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"24","Original Stage 24","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
