"Path","Category","Size","SHA256","TrackedOrIgnored","Producer","Consumers","LastKnownStage","Reason","Evidence","ReplacementPath","RecoveryPath","RiskLevel","DeletionPermitted","ValidationRequired"
".venv/Lib/site-packages/charset_normalizer/__pycache__/legacy.cpython-312.pyc","QUARANTINE_CANDIDATE","2939","0458754157D2E0F772CD9C3C77A729F6159ED6FB8F27254D0F4EB7908B4CC07E","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/md.cpython-312.pyc","QUARANTINE_CANDIDATE","30706","A9C6AB2418D7C50E0E5B4F7787E9BA569821B357028E5137D8B195FB3AECD6C7","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/models.cpython-312.pyc","QUARANTINE_CANDIDATE","17232","64A119DB168D8DEDFBCCE03FD33671B82EC8C07AA0C3D8C1407FBB114C21CC3B","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/utils.cpython-312.pyc","QUARANTINE_CANDIDATE","14645","7D01CE2DE6823455AAD9B4FEA605FACD41BDFC95C80F4250BD66462D340D25F5","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/version.cpython-312.pyc","QUARANTINE_CANDIDATE","350","63624A19B7ACD700377B29555B5E016EEBF783FAB1378B8D2593B1AE71C497DB","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/__init__.cpython-312.pyc","QUARANTINE_CANDIDATE","1748","D9BF4B8252E3B73A003A8E40B9BE4073E1578E5FAB5B38B3071E1AE2D0937C3A","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/__main__.cpython-312.pyc","QUARANTINE_CANDIDATE","323","8690F23F2284A6998C0B6BBB25A654D80598EE0F48AF67814F7C95FB87A65653","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/tests/__pycache__/ansitowin32_test.cpython-312.pyc","QUARANTINE_CANDIDATE","17970","9A2349403A36275C6400E2513521942B50C508EE1EC23C850F7F971C664416C7","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/tests/__pycache__/ansi_test.cpython-312.pyc","QUARANTINE_CANDIDATE","5431","140067AFA70D9EDA6AFD5AEC4832A1275A5C7CCD31BE492D366097B429AD03A4","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/tests/__pycache__/initialise_test.cpython-312.pyc","QUARANTINE_CANDIDATE","11618","37295FFD85849EEBA76EC7CFFD73EA1D631209C9A978F86102547DE99C5630D8","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/tests/__pycache__/isatty_test.cpython-312.pyc","QUARANTINE_CANDIDATE","4745","F9B25423023660D5A3A73DA98D7D873576B3DE27CCA0A72A1E72BE796DE80623","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/tests/__pycache__/utils.cpython-312.pyc","QUARANTINE_CANDIDATE","2434","DA036CB3E2A2B9CB7A64475AC2A7250A3C43E90DE3EEA64A17319C12CEC404DB","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/tests/__pycache__/winterm_test.cpython-312.pyc","QUARANTINE_CANDIDATE","6576","4640DE1D811EFD7A3DCF13568E55234F205221CF2412193D8B3B9C8CA553CF46","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/tests/__pycache__/__init__.cpython-312.pyc","QUARANTINE_CANDIDATE","162","0F731A0EB17DF30B268B204AA55E33BC327A3234F50C710D9883620D713B74AA","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/__pycache__/ansi.cpython-312.pyc","QUARANTINE_CANDIDATE","3909","1598B3CF9BB23D58DF189FA7F9AAA41F84CD4A0B513DA00D827070B630C9D074","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/__pycache__/ansitowin32.cpython-312.pyc","QUARANTINE_CANDIDATE","16376","2E83BB95842AB1933466BC3292C86A908FC21BEAD9F183BF45BA43F7DB69D684","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/__pycache__/initialise.cpython-312.pyc","QUARANTINE_CANDIDATE","3514","68CAE62EEF308644E1E43F786AFB1D9DAA8A863645A616AC08C8B82915A4DE57","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/__pycache__/win32.cpython-312.pyc","QUARANTINE_CANDIDATE","8099","C0BFF79D185CA24DC381F8DC99C9D3339E89D611A9784D6A45D50EFEE0B71859","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/__pycache__/winterm.cpython-312.pyc","QUARANTINE_CANDIDATE","9052","4BF6D39280991FB9DFB9A948BDE137F6D8F0A2705C939DE81F6E6624D10E9FDF","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/colorama/__pycache__/__init__.cpython-312.pyc","QUARANTINE_CANDIDATE","456","86FBEF26147935294847871BE9612908FCCB775396BC616833881C0E0DA5D00B","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/annotate.cpython-312.pyc","QUARANTINE_CANDIDATE","5051","7C933ECB4EF3D7AA63B85314CD4977785F07AB5E3D457F1C162800970AD6DF18","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/bytecode.cpython-312.pyc","QUARANTINE_CANDIDATE","8762","1DB1605A239AF3ED22D711F1113B5974459CFAAA5BECC0C28723C50952EE224A","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/cmdline.cpython-312.pyc","QUARANTINE_CANDIDATE","39591","F0973840EC4076B0F7FA5E9EC14D2523C447B7E65128EC51241475F421BCFF6F","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/collector.cpython-312.pyc","QUARANTINE_CANDIDATE","19748","0AF2F0DE74563E5F160AA859EF67993FBB8F4A09363A25610B1123EB372A5F24","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/config.cpython-312.pyc","QUARANTINE_CANDIDATE","27147","B6BF63EC1A3F476A68481613A38D4A04E2173FD8F1C4CB3D63CD8E59D97CB779","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/context.cpython-312.pyc","QUARANTINE_CANDIDATE","3056","B15FD8616B47A276FFD11B9B1BB1CA71217926C5502B68AC73CF646A14B32BBF","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/control.cpython-312.pyc","QUARANTINE_CANDIDATE","63431","2D04ABAA225D7F9C6639D075F2C44BB6D1BF68BC79FC66C755715592153CA438","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/core.cpython-312.pyc","QUARANTINE_CANDIDATE","5624","B3B306A1A4DA9C7F293D1ECAE72CEDA5E96EAD65B1ABE0DA0BF6CA84ECB30887","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/data.cpython-312.pyc","QUARANTINE_CANDIDATE","11897","611917FE33EA4228CA30FDD3D89BBBC83C22CDB990A2F9E0557BA6AB544BFC9C","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/debug.cpython-312.pyc","QUARANTINE_CANDIDATE","32287","79C601B048219A5ED4B5878D2FA164BEDB0130BFEAA3F697503097DAFEB3F7C9","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/disposition.cpython-312.pyc","QUARANTINE_CANDIDATE","2386","B2DE93BAB9D98F4A1F776A958A04FA95AEE16431854F7D2EAFCCCA9E7F139B8B","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/env.cpython-312.pyc","QUARANTINE_CANDIDATE","3422","C8E74486569FA7633080151141AE0E5C1E71C1C4BC986DADDDFB4677D48B6A8E","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/exceptions.cpython-312.pyc","QUARANTINE_CANDIDATE","2934","DCFB777FEDC55B3AAA8D9551202783FD97D6D0F102774EFF26ECED7A5DC41E7F","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/execfile.cpython-312.pyc","QUARANTINE_CANDIDATE","13597","46BEDE67CC26E9080232BBEACED083047ED402BC7486EC9C7984E7D8BA0E6D4F","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/files.cpython-312.pyc","QUARANTINE_CANDIDATE","24263","4CC710CE844478809D203DE53B8F7D3E732D61A0F6D6A6CF99E711C2CA552A93","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/html.cpython-312.pyc","QUARANTINE_CANDIDATE","40602","DCD489A63F823DC9E4ED5FD3E2A531E4955897DC19D6140D77CC55BFF1DF1038","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/inorout.cpython-312.pyc","QUARANTINE_CANDIDATE","27638","7BB1BCFDEBC45191C3FE5406C567CA6C2C1B280F5CD2FBD8E4AD3840F70BE04A","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/jsonreport.cpython-312.pyc","QUARANTINE_CANDIDATE","9679","8B15A3C66A967FB82AEFA5F065E8B9647CBCCE74A09523F0E36A53CEAABCB036","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/lcovreport.cpython-312.pyc","QUARANTINE_CANDIDATE","9600","0E45C4A509359DE00058371771A0048248137710468621C46A9995ADA8F9FF94","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/misc.cpython-312.pyc","QUARANTINE_CANDIDATE","17419","F42BE4021A71FFF8B9D11C3EE63FFA8AE8DC057D30A64A7D820326481F47ED4E","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/multiproc.cpython-312.pyc","QUARANTINE_CANDIDATE","5230","7DBFF0A2F7385765FC0B3156F3E9FFDB43A74056761E95AE7DBD1F6B33C9296B","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/numbits.cpython-312.pyc","QUARANTINE_CANDIDATE","7693","427ED964FB734283420E1FA86C2F54ECCE2A19AE60AECB20B1F9F9B3946C06CB","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/parser.cpython-312.pyc","QUARANTINE_CANDIDATE","53211","706C3FCAD4C0D7A367C5DB843A70F54691246BFDCCA417E32149B444CFAD903E","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/patch.cpython-312.pyc","QUARANTINE_CANDIDATE","5593","F5A9279E61EFB8BE3041FB1B2BA39E10FC5D2327C4016F98A71B3EDF20A5A78D","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/phystokens.cpython-312.pyc","QUARANTINE_CANDIDATE","7669","42371B9296FDB755A1D589447AB167AF5C84F4E121FDD89B44BB82D063DA0134","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/plugin.cpython-312.pyc","QUARANTINE_CANDIDATE","24535","137FC85BB2E444B82BD8A30BDB4F31DFAC2E90A3BEECD2386D35611A05177A27","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/plugin_support.cpython-312.pyc","QUARANTINE_CANDIDATE","17933","76664F8ABAC7556E8867070FACD1EEAE19C657667B66E19912F83C2FFF27A307","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/pth_file.cpython-312.pyc","QUARANTINE_CANDIDATE","490","9CCBDA542FD1F4342E30970FC414A98B5D4ABA0132653696B33EA0D3CC9FE47E","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/python.cpython-312.pyc","QUARANTINE_CANDIDATE","11840","D93D68E2F7B7AB4584B9D06FDA20B5F5865BC1400E2275F9AE7ADE8A1B7A8C49","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/pytracer.cpython-312.pyc","QUARANTINE_CANDIDATE","11216","4D366386BC54085C4F5D1B425E67AFE6A608219D9CAB7EB8490D7DFB0E74E163","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/regions.cpython-312.pyc","QUARANTINE_CANDIDATE","6542","E128098F1921773763FEAD25C98038D9473DE23AB36DADD01AF146731EA10DAC","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/report.cpython-312.pyc","QUARANTINE_CANDIDATE","15094","4B23AF6C4A430B72F4B0F6CAB69CD68E38F72D5031037EB662134423940EA3DA","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/report_core.cpython-312.pyc","QUARANTINE_CANDIDATE","4857","22C0BE599BF768AC265996DE408B62E8357949A5CD6A996F2453D997E7553CFB","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/coverage/__pycache__/results.cpython-312.pyc","QUARANTINE_CANDIDATE","22829","76407340A141263CFB984E0F48421A8AD829F73E0508D832284EB16AEDF98310","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
